Source,Target,Type,Id,Label,Weight
PADME,WATTO,Undirected,320,,3
PADME,YODA,Undirected,321,,1
POGGLE,SUN RIT,Undirected,322,,2
QUI-GON,R2-D2,Undirected,323,,14
QUI-GON,RABE,Undirected,324,,1
QUI-GON,RIC OLIE,Undirected,325,,2
QUI-GON,SEBULBA,Undirected,326,,2
QUI-GON,SHMI,Undirected,327,,8
QUI-GON,SIO BIBBLE,Undirected,328,,2
QUI-GON,TC-14,Undirected,329,,1
QUI-GON,VALORUM,Undirected,330,,1
QUI-GON,WALD,Undirected,331,,2
QUI-GON,WATTO,Undirected,332,,6
QUI-GON,YODA,Undirected,333,,3
R2-D2,BIGGS,Undirected,334,,1
R2-D2,CAPTAIN ANTILLES,Undirected,335,,1
R2-D2,CHEWBACCA,Undirected,336,,16
R2-D2,WATTO,Undirected,337,,3
R2-D2,YODA,Undirected,338,,1
RABE,YODA,Undirected,339,,1
RUWEE,SOLA,Undirected,340,,1
SEBULBA,SHMI,Undirected,341,,1
YODA,CLONE COMMANDER GREE,Undirected,342,,1
YODA,SENATOR ASK AAK,Undirected,343,,1
FANG ZAR,GIDDEAN DANU,Undirected,344,,1
SENATOR ASK AAK,ORN FREE TAA,Undirected,345,,1
BIGGS,CAMIE,Undirected,346,,2
BIGGS,GOLD LEADER,Undirected,347,,1
BIGGS,RED LEADER,Undirected,348,,3
GOLD LEADER,DODONNA,Undirected,349,,1
GOLD LEADER,RED LEADER,Undirected,350,,1
RED LEADER,RED TEN,Undirected,351,,1
BOBA FETT,CHEWBACCA,Undirected,352,,1
BOBA FETT,JANGO FETT,Undirected,353,,3
BOBA FETT,PIETT,Undirected,354,,1
BOBA FETT,TAUN WE,Undirected,355,,2
CHEWBACCA,RIEEKAN,Undirected,356,,1
JANGO FETT,TAUN WE,Undirected,357,,1
PIETT,NEEDA,Undirected,358,,1
PIETT,OZZEL,Undirected,359,,2
TAUN WE,LAMA SU,Undirected,360,,2
DARTH MAUL,GENERAL CEEL,Undirected,361,,1
DARTH MAUL,RUNE,Undirected,362,,1
RUNE,TEY HOW,Undirected,363,,2
MOTTI,TARKIN,Undirected,364,,2
DOFINE,TC-14,Undirected,365,,1
DOFINE,TEY HOW,Undirected,366,,1
TC-14,PK-4,Undirected,367,,1
